client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970679.mp3	2c339b92281238d0d14cdf1439a017971107f4fbe0ce1a878a909efa8cc2de63	შვიდი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970680.mp3	bafd74e27221af1c1aa4e1138dca90161fadfb04b1382d4153d1fa3289fd7fdb	ექვსი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970681.mp3	14b939ad519d4c77eda7bc051c3028dc5e5fd911e2f49ea6a3b698fb79127ee6	სამი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970682.mp3	ac778fa2ae170599d041b9f0791ec7ed5f3b3959a476820f6852e7aef79ca731	ოთხი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970683.mp3	7dbf3826fa86861bbf58bc518d02268ece5c2d5f45e70ea13d7880df492ac3e2	ხუთი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970689.mp3	d803b30252a24e6cfdf6db2e21c8ffa32513e91dfedfd5c99fc217aa530f2c81	რვა		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970690.mp3	cab54a5f39633ab43a24718a5fe76b064a7de895227e65c1e594b323e4fa32d4	ნული		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970691.mp3	648eb088f49f235c140748f6e666f6f1b0eeeeb993b252b6212b7a09a6d2027f	დიახ		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970692.mp3	4547727586f8492d000b32a2b0bcc083e13e2f5f2eb8db072e5a3e0515e7bb06	ერთი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970693.mp3	1e32588a20a8a7d76d7bfe720b3913459f793501417c8880be410211e25ffef8	ორი		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970705.mp3	0cd31817bb838e67df39b65430a4e90fad5de564de1aeecb89cc21650d9696c8	ცხრა		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970706.mp3	aca58b14def1f1b7c395358304e2874601add78d7f71b7ebf6a4d420c85d0886	არა		0	0	thirties				ka	Benchmark
4a3d198ccac94aa3330809ce2eef552dec6625d116950888019d1d5fbd71e82e022f2878fa2d1a4af25743f6a90ef234165fe3eaba26198c29f3afdb054ba1f8	common_voice_ka_41970707.mp3	201bdbb9103aff90fba8f39aa6f6fa31b480e375ba72522648ebee89063ac28a	აასვენა, აღარ დაასვენა.		0	0	thirties				ka	
83ec5d2f577585c4edd57fee72222b7f642fb2bd4e476f3ef4ceeb39b489473aa1c9b24e5d1e4775dbcf4ce7905e4c12f2d43ff2a2c66d456acd9adaf497c5b3	common_voice_ka_41972894.mp3	6636872ee823faad7645f9ff34baa6024d222a440a06c3e4ec2b22a12dca61ff	დაამთავრა უმცროს მეთაურთა სკოლა.		0	0	teens	female_feminine			ka	
83ec5d2f577585c4edd57fee72222b7f642fb2bd4e476f3ef4ceeb39b489473aa1c9b24e5d1e4775dbcf4ce7905e4c12f2d43ff2a2c66d456acd9adaf497c5b3	common_voice_ka_41972895.mp3	67450afc6a627009727d9e935b3d2d846a0065c56ef0bcee6fa9b1dbcda23666	შექმნა ახალი ქირურგიული ხელსაწყოები, რომლებიც ამჟამად მის სახელს ატარებს.		0	0	teens	female_feminine			ka	
83ec5d2f577585c4edd57fee72222b7f642fb2bd4e476f3ef4ceeb39b489473aa1c9b24e5d1e4775dbcf4ce7905e4c12f2d43ff2a2c66d456acd9adaf497c5b3	common_voice_ka_41972896.mp3	675b822e192b8c579ea5cd1ce7b235b638610af5ed7774613737b89611738361	ლეშის სუნი აქვს.		0	0	teens	female_feminine			ka	
